#Letra	FAbs.	Frel.
a	13436	0.0831971
b	3189	0.0197466
c	7345	0.045481
d	5798	0.0359018
e	19019	0.117768
f	2782	0.0172264
g	4127	0.0255548
h	4143	0.0256539
i	13816	0.0855501
j	306	0.00189478
k	1618	0.0100188
l	9697	0.0600448
m	4712	0.0291772
n	11672	0.0722742
o	11114	0.068819
p	5109	0.0316355
q	284	0.00175856
r	12426	0.0769431
s	10086	0.0624536
t	12391	0.0767264
v	1907	0.0118083
w	1745	0.0108052
x	493	0.00305271
y	3819	0.0236476
z	462	0.00286075
