#Letra	FAbs.	Frel.
a	96143	0.149839
b	12954	0.0201888
c	37757	0.0588442
d	25899	0.0403635
e	64348	0.100286
f	7370	0.0114861
g	11946	0.0186178
h	7120	0.0110965
i	52807	0.0822995
j	4418	0.00688544
k	133	0.00020728
l	33417	0.0520803
m	21570	0.0336168
n	41925	0.06534
o	62013	0.0966471
p	16332	0.0254534
q	2787	0.00434353
r	63809	0.0994461
s	28463	0.0443595
t	36278	0.0565391
v	6345	0.00988866
w	38	5.92229e-05
x	1152	0.00179539
y	1156	0.00180162
z	5464	0.00851563
